Tweet_ID, Target1, Stance1, Target2, Stance2, Train/Test/Dev
659365008967516160,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
659440614245691392,Donald Trump,AGAINST,Hilary Clinton,NONE,Train
659453892720218112,Donald Trump,NONE,Hilary Clinton,NONE,Train
659649196673208320,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
659689305867198464,Donald Trump,NONE,Hilary Clinton,NONE,Train
659741181799088128,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
659773016713228288,Donald Trump,NONE,Hilary Clinton,NONE,Train
659785145214464000,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
659788523990556672,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
659924181195206656,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
660028186953150464,Donald Trump,NONE,Hilary Clinton,NONE,Train
660098078972637185,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
660099577014431744,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
660488654675124224,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
660558730291978240,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
660603224144150532,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
660706223889731584,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
660843306788773892,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
660858732218179584,Donald Trump,AGAINST,Hilary Clinton,NONE,Train
660904412076974080,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
660938710939140096,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
660981304234758144,Donald Trump,NONE,Hilary Clinton,FAVOR,Train
660998971394031616,Donald Trump,NONE,Hilary Clinton,NONE,Train
661004530537091073,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
661138987361390592,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
661553169554501633,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
661574544952463361,Donald Trump,NONE,Hilary Clinton,NONE,Train
661595915178897408,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
661628819623776256,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
661893961766817793,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
661894969863643136,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
661940494012936192,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
662001970329161728,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
662022232873504769,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
662353312126263296,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
662394510870192128,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
662395957221437441,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
662646169441538048,Donald Trump,NONE,Hilary Clinton,NONE,Train
662647344958148608,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
662679608710533120,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
662691041473097730,Donald Trump,FAVOR,Hilary Clinton,NONE,Train
662707127409094656,Donald Trump,NONE,Hilary Clinton,AGAINST,Train
662717019997933569,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
662722842862026753,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
662723866737799168,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
662732552415805442,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
662957752654819328,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
662965720658149376,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
662990468767068160,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
663000737933340673,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
663002390975655937,Donald Trump,NONE,Hilary Clinton,AGAINST,Train
663031430310526977,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
663129342726262784,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
663224448816820224,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
663261675378753536,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
663273630676062208,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
663416930263437314,Donald Trump,NONE,Hilary Clinton,NONE,Train
663417768658661376,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
663457875855958016,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
663484519127711744,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
663488890393780225,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
663516268838957060,Donald Trump,NONE,Hilary Clinton,NONE,Train
663581330710601728,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
663790626513616896,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
663831711130759168,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
663882181299855360,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
663955690482831360,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
664078412630372353,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
664305214715858944,Donald Trump,AGAINST,Hilary Clinton,NONE,Train
664305516257021953,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
664318395735777280,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
664320794110070784,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
664493926649319424,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
664537207768678400,Donald Trump,AGAINST,Hilary Clinton,NONE,Train
664864106030178305,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
664877720107552768,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665148803289223168,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665182638068465665,Donald Trump,NONE,Hilary Clinton,NONE,Train
665198035559780352,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665203730095079425,Donald Trump,FAVOR,Hilary Clinton,NONE,Train
665255137292607488,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665493677838614528,Donald Trump,NONE,Hilary Clinton,NONE,Train
665498300347453441,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665569166917636096,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665588525027500032,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
665630315134734336,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665645913562460160,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
665653253653323777,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665656999783346176,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
665686765487943680,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665705931309608960,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
665715548454576129,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665728146734366720,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665729484373557248,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665734406305267713,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
665736829459668992,Donald Trump,NONE,Hilary Clinton,NONE,Train
665740104300826624,Donald Trump,FAVOR,Hilary Clinton,NONE,Train
665740275843624961,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665745317674024962,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665774484377481216,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
665860230010417152,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665897151843532800,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665899209657180162,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665900324968923136,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665901775996743680,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665944386597949441,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665960573067255808,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
665989158440013824,Donald Trump,NONE,Hilary Clinton,NONE,Train
666113340138266624,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
666278142768783360,Donald Trump,NONE,Hilary Clinton,NONE,Train
666298262538747904,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
666356693488414720,Donald Trump,NONE,Hilary Clinton,NONE,Train
666446377220706304,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
666578355559399424,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
666634189853368320,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
666734290592509953,Donald Trump,NONE,Hilary Clinton,NONE,Train
666995752095223808,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
667019275446652928,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
667027749005950976,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
667029908737003521,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
667060235434106880,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
667089036457054209,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
667092247486173184,Donald Trump,FAVOR,Hilary Clinton,FAVOR,Train
667128673393385472,Donald Trump,NONE,Hilary Clinton,NONE,Train
667157249572413440,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
667211352541294592,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
667218682150563840,Donald Trump,NONE,Hilary Clinton,NONE,Train
667274807172603904,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
667349738178674688,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
667366456246583298,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
667369920934621184,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
667388250714185728,Donald Trump,NONE,Hilary Clinton,NONE,Train
667412799224750083,Donald Trump,NONE,Hilary Clinton,NONE,Train
667435084627230720,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
667441993543454720,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
667565291405209600,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
667576000738406400,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
667662822856384512,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
667691262686793728,Donald Trump,FAVOR,Hilary Clinton,NONE,Train
667710856420028417,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
667715228289888256,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
667741295893319680,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
667756318963306498,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
667793720272691200,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
668063191990206465,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
668090562403258368,Donald Trump,NONE,Hilary Clinton,NONE,Train
668127508454240256,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
668144730782490625,Donald Trump,NONE,Hilary Clinton,AGAINST,Train
668171464923848704,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
668195279703797760,Donald Trump,NONE,Hilary Clinton,NONE,Train
668212287077879810,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
668219364995375104,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
668234359107792896,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
668329646090383360,Donald Trump,FAVOR,Hilary Clinton,NONE,Train
668425195733032960,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
668463502139371520,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
668469610287493120,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
668469908263403520,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
668540770811555840,Donald Trump,AGAINST,Hilary Clinton,NONE,Train
668578354233110528,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
668596598985895937,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
668661851773759488,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
668760297679646720,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
668784124111536128,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
668828238051975168,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
668832120672940032,Donald Trump,NONE,Hilary Clinton,NONE,Train
668835248449437696,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
668888033534447620,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
668915417344139264,Donald Trump,NONE,Hilary Clinton,NONE,Train
668931281044934656,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
668957968579317760,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
668971150479785984,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
669020252252975104,Donald Trump,NONE,Hilary Clinton,NONE,Train
669050079119073280,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
669074153341865984,Donald Trump,FAVOR,Hilary Clinton,NONE,Train
669075770879422464,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
669148466157854720,Donald Trump,NONE,Hilary Clinton,AGAINST,Train
669217161651486724,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
669567149413765121,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
669567954057580546,Donald Trump,NONE,Hilary Clinton,NONE,Train
669582528328704001,Donald Trump,NONE,Hilary Clinton,AGAINST,Train
669587608339505152,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
669793165847609345,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
669993851453468672,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
669995656577085440,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
670090801037369344,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
670123924454248448,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
670180143999008769,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
670241600514203648,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
670333507319652352,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
670367169323012096,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
670367678461120512,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
670391147206938624,Donald Trump,NONE,Hilary Clinton,NONE,Train
670500559263244288,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
670597443994677248,Donald Trump,NONE,Hilary Clinton,NONE,Train
670607234125185024,Donald Trump,NONE,Hilary Clinton,AGAINST,Train
670645670647304192,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
670675081077645312,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
670687066787811328,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
670720537224716292,Donald Trump,FAVOR,Hilary Clinton,NONE,Train
671325410983063552,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
671342185426489346,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
671368289734520832,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
671397017919311873,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
671449352078921728,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
671726957806157824,Donald Trump,AGAINST,Hilary Clinton,NONE,Train
671727434631421952,Donald Trump,NONE,Hilary Clinton,AGAINST,Train
671758422505824257,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
671847563302170624,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
671851565964242944,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
671852444813430785,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
671860143429152768,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
671925708046901249,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
671939612609142785,Donald Trump,AGAINST,Hilary Clinton,NONE,Train
672040686594727936,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
672046297596211200,Donald Trump,NONE,Hilary Clinton,NONE,Train
672047824092164096,Donald Trump,NONE,Hilary Clinton,NONE,Train
672064932754534400,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
672066558668091392,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
672075239979790336,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
672105585496625154,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
672131708209246209,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
672144648836530176,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
672206980568752130,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
672465799672557568,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
672479231054450688,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
672796137506631680,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
672803097681379328,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
672837435512848384,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
672957189712031744,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
673162359305838593,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
673166151296393217,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
673232638614761472,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
673258998938927104,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
673275432985346048,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
673321678554791936,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
673341637922127872,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
673429214381518848,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
673439854286479360,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
673524232622616576,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
673536784261779457,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
673554247477145601,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
673673981627523072,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
673674519517753344,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
673675770879848448,Donald Trump,NONE,Hilary Clinton,NONE,Train
673735803256836096,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
673762956467802112,Donald Trump,NONE,Hilary Clinton,NONE,Train
673776978319798276,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
673784493908488193,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
673824181675405312,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
673885516404670464,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
673935329695526913,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
673970283238305792,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
673985130059304960,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
673999457860624385,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
674001173779623936,Donald Trump,NONE,Hilary Clinton,NONE,Train
674004704381247488,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
674009016004145152,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
674035653957390336,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
674037979984191488,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
674065299931574273,Donald Trump,NONE,Hilary Clinton,NONE,Train
674070679906578432,Donald Trump,NONE,Hilary Clinton,NONE,Train
674075568527310848,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
674078458398527488,Donald Trump,AGAINST,Hilary Clinton,NONE,Train
674085922217074688,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
674088724611887104,Donald Trump,NONE,Hilary Clinton,AGAINST,Train
674089310900068354,Donald Trump,NONE,Hilary Clinton,NONE,Train
674090069783740417,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
674091382395408385,Donald Trump,NONE,Hilary Clinton,NONE,Train
674177300188000256,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
674210858822602752,Donald Trump,NONE,Hilary Clinton,NONE,Train
674212296583856130,Donald Trump,NONE,Hilary Clinton,NONE,Train
674212745403699200,Donald Trump,NONE,Hilary Clinton,NONE,Train
674217076362358785,Donald Trump,NONE,Hilary Clinton,NONE,Train
674218558985867264,Donald Trump,NONE,Hilary Clinton,NONE,Train
674225024157356033,Donald Trump,NONE,Hilary Clinton,AGAINST,Train
674237377905352704,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
674239159087833088,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
674248334974967808,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
674267495683895296,Donald Trump,AGAINST,Hilary Clinton,NONE,Train
674268383156658177,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
674273569593884673,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
674287419546447872,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
674306865220730880,Donald Trump,NONE,Hilary Clinton,NONE,Train
674307093097086977,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
674391691109908480,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
674406948356403200,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
674408420041191424,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
674410103873736704,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
674413238818177029,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
674415486747054080,Donald Trump,NONE,Hilary Clinton,NONE,Train
674438126891311104,Donald Trump,NONE,Hilary Clinton,NONE,Train
674439158715187200,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
674442825161940992,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
674451358662180864,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
674518161446817793,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
674555531164454912,Donald Trump,NONE,Hilary Clinton,NONE,Train
674579742272716801,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
674608217008316417,Donald Trump,NONE,Hilary Clinton,NONE,Train
674617790888853504,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
674627835286454273,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
674629983717875712,Donald Trump,FAVOR,Hilary Clinton,NONE,Train
674643616216842240,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
674657145061834752,Donald Trump,FAVOR,Hilary Clinton,NONE,Train
674658176684437505,Donald Trump,NONE,Hilary Clinton,NONE,Train
674663469539459073,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
674664542400602112,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
674715644680658944,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
674718681172041730,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
674721460401893376,Donald Trump,NONE,Hilary Clinton,NONE,Train
674721860408508416,Donald Trump,NONE,Hilary Clinton,NONE,Train
674721986527010817,Donald Trump,NONE,Hilary Clinton,NONE,Train
674739703720054784,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
674745796999438336,Donald Trump,FAVOR,Hilary Clinton,NONE,Train
674804875407007747,Donald Trump,NONE,Hilary Clinton,NONE,Train
674814707312820224,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
674818951990239232,Donald Trump,NONE,Hilary Clinton,NONE,Train
674821313685401600,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
674822203075002368,Donald Trump,FAVOR,Hilary Clinton,NONE,Train
674823880746270720,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
674824702745939969,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
674868527099023360,Donald Trump,AGAINST,Hilary Clinton,FAVOR,Train
674921193066110976,Donald Trump,FAVOR,Hilary Clinton,FAVOR,Train
674930152548212737,Donald Trump,AGAINST,Hilary Clinton,AGAINST,Train
674930274665394176,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
674933126825644032,Donald Trump,NONE,Hilary Clinton,NONE,Train
674936621494501376,Donald Trump,NONE,Hilary Clinton,NONE,Train
674937324095078401,Donald Trump,NONE,Hilary Clinton,NONE,Train
674945963170074624,Donald Trump,NONE,Hilary Clinton,NONE,Train
674950850570272768,Donald Trump,NONE,Hilary Clinton,NONE,Train
674963954104446977,Donald Trump,FAVOR,Hilary Clinton,AGAINST,Train
